Abelmoschus esculentus	(L.) Moench
Abelmoschus moschatus	Medik.
Abildgaardia ovata	(Burm. f.) Kral
Abrodictyum rigidum	(Sw.) Ebihara & Dubuisson
Abrus precatorius	L.
Abutilon abutiloides	(Jacq.) Garcke ex Hochr.
Abutilon hirtum	(Lam.) Sweet
Abutilon hulseanum	(Torr. & A. Gray) Torr. ex A. Gray
Abutilon indicum	(L.) Sweet
Abutilon permolle	(Willd.) Sweet
Acalypha alopecuroidea	Jacq.
Acalypha berteriana	Müll. Arg.
Acalypha bisetosa	Bertol. ex Spreng.
Acalypha chamaedryfolia	(Lam.) Müll. Arg.
Acalypha hispida	Burm. f.
Acalypha ostryifolia	Riddell
Acalypha poiretii	Spreng.
Acalypha portoricensis	Müll. Arg.
Acalypha setosa	A. Rich.
Acanthospermum hispidum	DC.
Achyranthes aspera	L.
Acisanthera quadrata	Pers.
Acmella iodiscaea	(A.H. Moore) R.K. Jansen
Acmella iodiscaea	(A.H.Moore) R.K.Jansen
Acmella pusilla	(Hook. & Arn.) R.K. Jansen
Acnistus arborescens	(L.) Schltdl.
Acrocomia media	O.F. Cook
Acrostichum aureum	L.
Acrostichum danaeifolium	Langsd. & Fisch.
Adansonia digitata	L.
Adelia ricinella	L.
Adenanthera pavonina	L.
Adenostemma verbesina	(L.) Sch. Bip.
Adiantum capillus-veneris	L.
Adiantum concinnum	Humb. & Bonpl. ex Willd.
Adiantum fragile	Sw.
Adiantum latifolium	Lam.
Adiantum macrophyllum	Sw.
Adiantum melanoleucum	Willd.
Adiantum obliquum	Willd.
Adiantum petiolatum	Desv.
Adiantum pulverulentum	L.
Adiantum pyramidale	(L.) Willd.
Adiantum tenerum	Sw.
Adiantum tetraphyllum	Humb. & Bonpl. ex Willd.
Adiantum villosum	L.
Adiantum vivesii	Proctor
Adiantum wilsonii	Hook.
Aechmea fasciata	(Lindl.) Baker
Aechmea lingulata	(L.) Baker
Aechmea nudicaulis	(L.) Griseb.
Aegiphila elata	Sw.
Aegiphila martinicensis	Jacq.
Aeschynomene americana	L.
Aeschynomene evenia	C. Wright
Aeschynomene gracilis	Vogel
Aeschynomene indica	L.
Aeschynomene rudis	Benth.
Aeschynomene sensitiva	Sw.
Aeschynomene villosa	Poir.
Agalinis fasciculata	(Elliott) Raf.
Agathis robusta	(C. Moore ex F. Muell.) F.M. Bailey
Agave minor	Proctor
Agave missionum	Trel.
Agave sisalana	Perrine
Agdestis clematidea	Moc. & Sessé ex DC.
Ageratina resiniflua	(Urb.) R.M. King & H. Rob.
Ageratum conyzoides	L.
Aglaonema commutatum	Schott
Aglaonema pictum	(Roxb.) Kunth
Agrostis hyemalis	(Walter) Britton, Sterns & Poggenb.
Aiphanes minima	(Gaertn.) Burret
Albizia adinocephala	(Donn. Sm.) Britton & Rose ex Record
Albizia carbonaria	Britton
Albizia lebbeck	(L.) Benth.
