Abelmoschus esculentus	okra
Abelmoschus moschatus	musk okra
Abildgaardia ovata	flatspike sedge
Abrus precatorius	rosarypea
Abutilon abutiloides	shrubby Indian mallow
Abutilon hirtum	Florida Keys Indian mallow
Abutilon hulseanum	mauve
Abutilon indicum	monkeybush
Abutilon permolle	coastal Indian mallow
Acalypha alopecuroidea	foxtail copperleaf
Acalypha berteriana	Guayama Copperleaf
Acalypha bisetosa	streambank copperleaf
Acalypha chamaedryfolia	bastard copperleaf
Acalypha hispida	red-hot cat's tail
Acalypha ostryifolia	pineland threeseed mercury
Acalypha poiretii	Poiret's copperleaf
Acalypha portoricensis	Puerto Rico copperleaf
Acalypha setosa	Cuban copperleaf
Acanthospermum hispidum	hispid starbur
Achyranthes aspera	devil's horsewhip
Acisanthera quadrata	dustseed
Acmella iodiscaea	maluco
Acmella pusilla	dwarf spotflower
Acnistus arborescens	hollowheart
Acrocomia media	grugru palm
Acrostichum aureum	golden leatherfern
Acrostichum danaeifolium	inland leatherfern
Adansonia digitata	baobab
Adelia ricinella	wild lime
Adenanthera pavonina	red beadtree
Adenostemma verbesina	tropical medicineplant
Adiantum capillus-veneris	common maidenhair
Adiantum concinnum	polished maidenhair
Adiantum fragile	fragile maidenhair
Adiantum latifolium	broadleaf maidenhair
Adiantum macrophyllum	largeleaf maidenhair
Adiantum melanoleucum	fragrant maidenhair
Adiantum obliquum	oblique maidenhair
Adiantum petiolatum	stalked maidenhair
Adiantum pulverulentum	glossy maidenhair
Adiantum pyramidale	pyramid maidenhair
Adiantum tenerum	fan maidenhair
Adiantum tetraphyllum	fourleaf maidenhair
Adiantum villosum	woolly maidenhair
Adiantum vivesii	Puerto Rico maidenhair
Adiantum wilsonii	Wilson's maidenhair
Aechmea fasciata	urnplant
Aechmea lingulata	West Indian livingvase
Aechmea nudicaulis	nakedstem livingvase
Aegiphila elata	tall spiritweed
Aegiphila martinicensis	Caribbean spiritweed
Aeschynomene americana	shyleaf
Aeschynomene evenia	shrubby jointvetch
Aeschynomene gracilis	Puerto Rico jointvetch
Aeschynomene indica	Indian jointvetch
Aeschynomene rudis	zigzag jointvetch
Aeschynomene sensitiva	sensitive jointvetch
Aeschynomene villosa	hairy jointvetch
Agalinis fasciculata	beach false foxglove
Agathis robusta	Queensland kauri
Agave minor	Proctor's agave
Agave missionum	corita
Agave sisalana	sisal hemp
Agdestis clematidea	rockroot
Ageratina resiniflua	resinous snakeroot
Ageratum conyzoides	tropical whiteweed
Aglaonema commutatum	Philippine evergreen
Aglaonema pictum	cara de caballo
Agrostis hyemalis	winter bentgrass
Aiphanes minima	Guinea bactris
Albizia adinocephala	cream albizia
Albizia carbonaria	naked albizia
Albizia lebbeck	woman's tongue
Albizia procera	tall albizia
Alcea rosea	hollyhock
Alchornea latifolia	achiotillo
Alchorneopsis floribunda	palo de gallina
Alchorneopsis portoricensis	Puerto Rico palo de gallina
Alectra fluminensis	yerba de hierro
Aleurites moluccanus	Indian walnut
Allamanda blanchetii	purple allamanda
Allamanda cathartica	golden trumpet
Allamanda schottii	bush allamanda
Allophylus crassinervis	palo blanco
Allophylus racemosus	palo de caja
Allosidastrum pyramidatum	mock fanpetals
Alocasia macrorrhizos	giant taro
Alocasia plumbea	metallic taro
Aloe vera	Barbados aloe
Aloysia triphylla	lemon beebrush
Alpinia purpurata	red ginger
Alpinia zerumbet	shellplant
Alsophila amintae	forest alsophila
Alsophila brooksii	Brooks' alsophila
Alsophila bryophila	helecho gigante de la sierra
Alsophila portoricensis	Puerto Rico alsophila
Alternanthera bettzichiana	calicoplant
Alternanthera brasiliana	Brazilian joyweed
Alternanthera caracasana	washerwoman
Alternanthera crucis	West Indian joyweed
Alternanthera ficoidea	sanguinaria
Alternanthera flavescens	yellow joyweed
Alternanthera paronychioides	smooth joyweed
Alternanthera philoxeroides	alligatorweed
Alternanthera pungens	khakiweed
Alternanthera sessilis	sessile joyweed
Alysicarpus vaginalis	white moneywort
Amaranthus australis	southern amaranth
Amaranthus blitum	purple amaranth
Amaranthus caudatus	foxtail amaranth
Amaranthus crassipes	spreading amaranth
Amaranthus cruentus	red amaranth
Amaranthus dubius	spleen amaranth
Amaranthus spinosus	spiny amaranth
Amaranthus tricolor	Joseph's-coat
Ambrosia confertiflora	weakleaf bur ragweed
Ambrosia hispida	coastal ragweed
Ambrosia peruviana	Peruvian ragweed
Ambrosia tenuifolia	slimleaf bur ragweed
Ammannia auriculata	eared redstem
Ammannia baccifera	monarch redstem
Ammannia coccinea	valley redstem
Ammannia latifolia	pink redstem
Amphilophium paniculatum	liana de cuello
Amphitecna latifolia	black calabash
Amyris balsamifera	balsam torchwood
Amyris elemifera	sea torchwood
Anacardium occidentale	cashew
Anadenanthera peregrina	cohoba tree
Anagallis arvensis	scarlet pimpernel
Ananas comosus	pineapple
Andira inermis	cabbagebark tree
Andropogon bicornis	barbas de indio
Andropogon glomeratus	bushy bluestem
Andropogon gracilis	wire bluestem
Andropogon leucostachyus	matojillo bluestem
Andropogon virginicus	broomsedge bluestem
Anechites nerium	Natal plum
Anemia adiantifolia	pineland fern
Anemia hirsuta	hairy flowering fern
Anemia hirta	streambank flowering fern
Anemia portoricensis	Puerto Rico flowering fern
Anethum graveolens	dill
Anetium citrifolium	treetrunk fern
Angelonia salicariifolia	willowleaf angelon
Aniba bracteata	canelillo
Aniseia martinicensis	whitejacket
Annona cherimola	cherimoya
Annona glabra	pond apple
Annona montana	mountain soursop
Annona muricata	soursop
Annona reticulata	custard apple
Annona squamosa	sugar apple
Anoda cristata	crested anoda
Anopteris hexagona	Moore's brake
Anredera cordifolia	heartleaf madeiravine
Anredera vesicaria	Texas madeiravine
Anthephora hermaphrodita	oldfield grass
Anthurium andraeanum	flamingo-lily
Anthurium cordatum	Organ Mountain laceleaf
Anthurium crenatum	scalloped laceleaf
Anthurium dominicense	lengua de vaca
Anthurium scandens	pearl laceleaf
Antidaphne wrightii	Wright's catkin mistletoe
Antigonon guatemalense	bellisima grande
Antigonon leptopus	coral vine
Antirhea acutata	placa chiquitu
Antirhea coriacea	pegwood
Antirhea lucida	palo iloron
Antirhea obtusifolia	quina roja
Antirhea portoricensis	Puerto Rico quina
Antirhea sintenisii	Sintenis' quina
Antrophyum cajenense	forked lineleaf fern
Antrophyum intramarginale	tufted lineleaf fern
Antrophyum lanceolatum	straight lineleaf fern
Antrophyum lineatum	narrow lineleaf fern
Antrophyum urbanii	Urban's lineleaf fern
Apteria aphylla	nodding nixie
Arachis hypogaea	peanut
Arachis repens	creeping peanut
Arachniodes chaerophylloides	false hollyfern
Ardisia glauciflora	ausubon
Ardisia luquillensis	mountain marlberry
Ardisia obovata	Guadeloupe marlberry
Ardisia solanacea	China-shrub
Argemone mexicana	Mexican pricklypoppy
Argusia gnaphalodes	sea rosemary
Argyreia nervosa	elephant creeper
Argythamnia candicans	sharpleaf silverbush
Argythamnia fasciculata	broom silverbush
Argythamnia stahlii	bluntleaf silverbush
Aristida adscensionis	sixweeks threeawn
Aristida chaseae	Chase's threeawn
Aristida portoricensis	pelos del diablo
Aristida refracta	islandthicket threeawn
Aristida spiciformis	bottlebrush threeawn
Aristida suringarii	St. Eustatius threeawn
Aristida swartziana	Swartz's threeawn
Aristolochia bilabiata	West Indian dutchman's pipe
Aristolochia elegans	elegant dutchman's pipe
Aristolochia ringens	gaping dutchman's pipe
Aristolochia trilobata	bejuco de santiago
Arrabidaea chica	cricketvine
