Micropholis chrysophylloides	Micropholis guyanensis
Buchenavia capitata	Buchenavia tetraphylla
Guarea trichilioides	Guarea guidonia
Tabebuia donnell-smithii	Tabebuia donnell-smithii
Prestoea montana	Prestoea acuminata
Malpighia punicifolia	Malpighia emarginata
Chionanthus domingensis	Chionanthus domingensis
Eucalyptus multiflora	Eucalyptus robusta
Pterocarpus indicus	Pterocarpus indicus
Chrysalidocarpus lutescens	Dypsis lutescens
Eugenia malaccensis	Syzygium malaccense
Musa paradisiaca	Musa x paradisiaca
Cecropia peltata	Cecropia schreberiana
Ilex sintenisii	Ilex obcordata
Calycogonium squamulosum	Henriettea squamulosum
Myrica holdrigeana	Morella holdridgeana
