Abelmoschus esculentus	(L.) Moench	okra
Abelmoschus moschatus	Medik.	musk okra
Abildgaardia ovata	(Burm. f.) Kral	flatspike sedge
Abrus precatorius	L.	rosarypea
Abutilon abutiloides	(Jacq.) Garcke ex Hochr.	shrubby Indian mallow
Abutilon hirtum	(Lam.) Sweet	Florida Keys Indian mallow
Abutilon hulseanum	(Torr. & A. Gray) Torr. ex A. Gray	mauve
Abutilon indicum	(L.) Sweet	monkeybush
Abutilon permolle	(Willd.) Sweet	coastal Indian mallow
Acalypha alopecuroidea	Jacq.	foxtail copperleaf
Acalypha berteriana	Müll. Arg.	Guayama Copperleaf
Acalypha bisetosa	Bertol. ex Spreng.	streambank copperleaf
Acalypha chamaedryfolia	(Lam.) Müll. Arg.	bastard copperleaf
Acalypha hispida	Burm. f.	red-hot cat's tail
Acalypha ostryifolia	Riddell	pineland threeseed mercury
Acalypha poiretii	Spreng.	Poiret's copperleaf
Acalypha portoricensis	Müll. Arg.	Puerto Rico copperleaf
Acalypha setosa	A. Rich.	Cuban copperleaf
Acanthospermum hispidum	DC.	hispid starbur
Achyranthes aspera	L.	devil's horsewhip
Achyranthes aspera var. aspera	L.	devil's horsewhip
Achyranthes aspera var. pubescens	L.	devil's horsewhip
Acisanthera quadrata	Pers.	dustseed
Acmella iodiscaea	(A.H. Moore) R.K. Jansen	maluco
Acmella pusilla	(Hook. & Arn.) R.K. Jansen	dwarf spotflower
Acnistus arborescens	(L.) Schltdl.	hollowheart
Acrocomia media	O.F. Cook	grugru palm
Acrostichum aureum	L.	golden leatherfern
Acrostichum danaeifolium	Langsd. & Fisch.	inland leatherfern
Adansonia digitata	L.	baobab
Adelia ricinella	L.	wild lime
Adenanthera pavonina	L.	red beadtree
Adenostemma verbesina	(L.) Sch. Bip.	tropical medicineplant
Adiantum capillus-veneris	L.	common maidenhair
Adiantum concinnum	Humb. & Bonpl. ex Willd.	polished maidenhair
Adiantum fragile	Sw.	fragile maidenhair
Adiantum fragile var. fragile	Sw.	fragile maidenhair
Adiantum fragile var. rigidulum	Sw.	fragile maidenhair
Adiantum latifolium	Lam.	broadleaf maidenhair
Adiantum macrophyllum	Sw.	largeleaf maidenhair
Adiantum melanoleucum	Willd.	fragrant maidenhair
Adiantum obliquum	Willd.	oblique maidenhair
Adiantum petiolatum	Desv.	stalked maidenhair
Adiantum pulverulentum	L.	glossy maidenhair
Adiantum pyramidale	(L.) Willd.	pyramid maidenhair
Adiantum tenerum	Sw.	fan maidenhair
Adiantum tetraphyllum	Humb. & Bonpl. ex Willd.	fourleaf maidenhair
Adiantum villosum	L.	woolly maidenhair
Adiantum vivesii	Proctor	Puerto Rico maidenhair
Adiantum wilsonii	Hook.	Wilson's maidenhair
Aechmea fasciata	(Lindl.) Baker	urnplant
Aechmea lingulata	(L.) Baker	West Indian livingvase
Aechmea nudicaulis	(L.) Griseb.	nakedstem livingvase
Aegiphila elata	Sw.	tall spiritweed
Aegiphila martinicensis	Jacq.	Caribbean spiritweed
Aeschynomene americana	L.	shyleaf
Aeschynomene evenia	C. Wright	shrubby jointvetch
Aeschynomene gracilis	Vogel	Puerto Rico jointvetch
Aeschynomene indica	L.	Indian jointvetch
Aeschynomene rudis	Benth.	zigzag jointvetch
Aeschynomene sensitiva	Sw.	sensitive jointvetch
Aeschynomene sensitiva var. sensitiva	Sw.	sensitive jointvetch
Aeschynomene villosa	Poir.	hairy jointvetch
Agalinis fasciculata	(Elliott) Raf.	beach false foxglove
Agathis robusta	(C. Moore ex F. Muell.) F.M. Bailey	Queensland kauri
Agave minor	Proctor	Proctor's agave
Agave missionum	Trel.	corita
Agave sisalana	Perrine	sisal hemp
Agdestis clematidea	Moc. & Sessé ex DC.	rockroot
Ageratina resiniflua	(Urb.) R.M. King & H. Rob.	resinous snakeroot
Ageratum conyzoides	L.	tropical whiteweed
Aglaonema commutatum	Schott	Philippine evergreen
Aglaonema commutatum var. maculatum	Schott	Philippine evergreen
Aglaonema pictum	(Roxb.) Kunth	cara de caballo
