Cyathea horrida
Dennstaedtia dissecta
Gleichenella pectinata
Abrodictyum rigidum
Didymoglossum angustifrons
Didymoglossum krausii
Didymoglossum punctatum
Danaea geniculata
Danaea grandifolia
Campyloneurum brevifolium
Elaphoglossum piloselloides
Megalastrum martinicense
Mickelia nicotianifolia
Moranopteris taenifolia
Nephrolepis brownii
Polystichopsis chaerophylloides
Serpocaulon dissimile
Serpocaulon loriceum
Tectaria prolifera
Terpsichore mollissima
Polytaenium feei
Radiovittaria remota
Cheilocostus speciosus
Curcuma sp.
Renealmia aromatica
Zingiber spectabile
Scleria canescens
Scleria gaertneri
Scleria mucronata
Bambusa sp.
Cenchrus purpureus
Megathyrsus maximus
Panicum hylaeicum
Sporobolus jacquemontii
Steinchisma laxum
Molineria capitulata
Musa x paradisiaca
Epidendrum angustilobum
Epidendrum portoricense
Liparis nervosa
Microchilus familiaris
Microchilus hirtellus
Microchilus plantagineus
Mormolyca pudica
Ornithidium coccineum
Prescottia oligantha
Prescottia stachyodes
Wullschlaegelia calcarata
Smilax domingensis
Piper umbellatum
Trema micranthum
Sloanea berteroana
Euphorbia hyssopifolia
Euphorbia lasiocarpa
Talipariti tiliaceum
Clidemia eggersii
Henriettea squamulosa
Heterotis rotundifolia
Myrcia amazonica
Citrus paradisi
Citrus x aurantium
Samyda spinulosa
Simarouba amara
Cestrum macrophyllum
Pilea obtusata
Pinochia corymbosa
Schefflera morototoni
Critonia aromatisans
Varronia polycephala
Clerodendrum quadriloculare
Dolichandra unguis-cati
Lantana scabrida
Lepidagathis alopecuroidea
Plectranthus scutellarioides
Ruellia blechum
Pisonia sp.
Gonzalagunia spicata
Notopleura guadalupensis
Notopleura uliginosa
Psychotria berteroana
Spermacoce ocymifolia
Spermacoce remota
Stenostomum obtusifolium
